generation,score
0,0.5440797489432678
0,0.5470863591567076
0,0.5512260970550257
0,0.5528529905815481
0,0.5543267136257309
0,0.5562784387681842
0,0.5579616269446609
0,0.5599047032502527
0,0.5644900508113085
0,0.5647798610559536
1,0.5593967500203724
1,0.5597355344350392
1,0.5601258631412886
1,0.5628985575243919
1,0.5635534899624149
1,0.5641891144913088
1,0.5642431134179863
1,0.5664644047085725
1,0.5684237513853159
1,0.5718790997654891
2,0.5431172698892737
2,0.5511384531599823
2,0.5523629022263236
2,0.5538894701567227
2,0.5589196190852529
2,0.56026546411849
2,0.5640959724432437
2,0.5738691909598649
2,0.5772154192580574
2,0.5774614646976535
3,0.5341134526033059
3,0.5407045758367623
3,0.5440044410608785
3,0.5442434723663013
3,0.550592919524721
3,0.5528442530438918
3,0.5551596984226004
3,0.5557999264984516
3,0.5562433858848417
3,0.5598191415480985
4,0.5343049552988853
4,0.539364385887173
4,0.541548953253312
4,0.5451028615047614
4,0.5483647392253103
4,0.5505116090326164
4,0.5520474622852458
4,0.5626078692882818
4,0.5656331431220248
4,0.5691737420965649
5,0.5379384895073291
5,0.5462785880892252
5,0.5487365347836289
5,0.55198408135771
5,0.5522102075170737
5,0.5523636278715768
5,0.5545314034980129
5,0.5556725837102134
5,0.5571306448847075
5,0.5660818882095217
6,0.5485934934092226
6,0.5531402342420992
6,0.5568830150205885
6,0.5582685473891653
6,0.5601561636842777
6,0.5609427186239887
6,0.561054523170916
6,0.5619844032190793
6,0.564572363047526
6,0.5680938691963802
7,0.5313557168861452
7,0.5381974733441246
7,0.5413214067850777
7,0.5428632414319234
7,0.5450805282716709
7,0.5471734709472882
7,0.5496198584549581
7,0.55419852723023
7,0.555337332756865
7,0.5589734470825678
8,0.5404332007228327
8,0.5412553823095004
8,0.5465243537003658
8,0.5480543629407992
8,0.5490630008339463
8,0.5532150653780138
8,0.5541434817058029
8,0.5597729268000227
8,0.5609982283905492
8,0.5630770018871585
9,0.5380458867489402
9,0.5466673921867482
9,0.5473990620794078
9,0.5484659739794832
9,0.5511091032447502
9,0.55258756724299
9,0.5539058941408633
9,0.558733330106625
9,0.5610606242614298
9,0.568568407081681
